Reporter Country Code,Reporter Countries,pre_india_share,pre_from_india_t,pre_total_t,post_india_share,post_from_india_t,post_total_t,share_change,volume_change_t
251,Zambia,0.06881556007480309,2347.36,34110.89,0.12273932993263267,7046.360000000001,57448.655,0.05392376985782958,4699.0
210,Sweden,0.06381620610340132,8284.98,129802.07,0.11397645896995115,16255.365000000002,142637.09,0.050160252866549834,7970.385000000002
181,Zimbabwe,0.05876281916739127,14077.695,225460.905,0.2450313877043604,73829.04999999999,305255.17999999993,0.18626856853696913,59751.35499999999
115,Cambodia,0.05368424501059852,704.215,12554.414999999999,0.2613038719456957,4211.705,14123.695,0.2076196269350972,3507.49
3,Albania,0.053114881242927105,1021.78,19237.17,0.00809690004144036,249.37,34443.515,-0.04501798120148674,-772.41
63,Estonia,0.052275955534808294,409.365,7861.41,0.04635461264068609,384.21000000000004,8257.22,-0.005921342894122203,-25.154999999999973
255,Belgium,0.04298818149318847,29780.574999999997,734274.245,0.022741202662567583,17049.07,773264.34,-0.020246978830620887,-12731.504999999997
9,Argentina,0.037542679923200706,123.64499999999998,3290.35,0.06297694598111839,64.275,5171.59,0.02543426605791768,-59.369999999999976
79,Germany,0.03713776415696389,14948.6,403397.20499999996,0.048740996146265314,19256.38,395076.03,0.011603231989301424,4307.780000000001
68,France,0.03273085533013716,31818.495000000003,985746.4550000001,0.036320670691971514,35451.69,977612.28,0.0035898153618343573,3633.1949999999997
40,Chile,0.02860792683381404,9618.294999999998,349097.835,0.008918156272245363,3342.5,374797.2,-0.019689770561568676,-6275.794999999998
203,Spain,0.028546093540593634,12161.335,443773.635,0.026922001424337746,13753.445,508758.82,-0.0016240921162558875,1592.1100000000006
54,Denmark,0.021931455876718863,1677.04,76606.7,0.03023243610074406,2406.215,79759.955,0.008300980224025197,729.1750000000002
11,Austria,0.021100249699338734,1506.645,71438.995,0.020821143934910604,1680.67,80705.95000000001,-0.00027910576442813015,174.0250000000001
117,Republic of Korea,0.02012166968657289,10000.16,489228.16500000004,0.0005165137917204986,240.905,370023.38499999995,-0.019605155894852393,-9759.255
222,Tunisia,0.018109200890801983,901.0749999999999,45538.43,0.1164608378849191,2962.32,25436.19,0.09835163699411711,2061.2450000000003
23,Belize,0.01785959138900315,5.21,291.72,,,,,
154,North Macedonia,0.016790406923063755,8.4,440.875,0.019271307701336428,13.03,606.4100000000001,0.002480900778272673,4.629999999999999
21,Brazil,0.016600246255174946,17854.25,1202222.0750000002,0.00017105271175332548,285.83000000000004,1669672.185,-0.016429193543421622,-17568.42
174,Portugal,0.01567863752418379,2821.38,196829.28499999997,0.038773084495307905,9364.73,240937.49000000002,0.023094446971124116,6543.349999999999
234,Uruguay,0.01376780571540091,6.0,427.67999999999995,0.0019275216802381717,11.0,5706.8099999999995,-0.011840284035162739,5.0
220,Trinidad and Tobago,0.012882470354231755,364.65999999999997,28311.355,0.03217934133706437,928.935,28117.129999999997,0.019296870982832615,564.275
74,Gabon,0.012715196754560232,1919.225,149788.57,0.01804529227083609,3672.25,203501.83,0.005330095516275859,1753.025
256,Luxembourg,0.012480069850428974,78.9,6322.08,0.005530513200108925,40.010000000000005,7234.41,-0.006949556650320049,-38.89
58,Ecuador,0.011964042737922993,16.33,1241.0900000000001,0.0013625196646591027,2.49,17907.58,-0.01060152307326389,-13.839999999999998
198,Slovenia,0.011203250841216128,379.12,37583.045,0.009293167562024484,431.85,46074.57,-0.0019100832791916437,52.73000000000002
67,Finland,0.011119193691998258,681.615,63872.715,0.011941391561822312,797.595,66835.965,0.0008221978698240533,115.98000000000002
20,Botswana,0.01019480499565573,683.9449999999999,73315.735,0.009573302734894084,754.64,78827.54999999999,-0.0006215022607616461,70.69500000000005
208,Tajikistan,0.009696028910458515,543.195,55667.195,0.08994903205344465,4452.63,49501.69999999999,0.08025300314298614,3909.435
173,Poland,0.009449955770139244,2912.56,297066.17500000005,0.00653342795183447,2048.76,312674.83999999997,-0.0029165278183047733,-863.7999999999997
119,Latvia,0.009283989437780938,129.885,15211.670000000002,0.020687011999048568,312.87,14899.685,0.01140302256126763,182.985
169,Paraguay,0.00875765589940252,8.760000000000002,1194.255,0.00047480952833151935,0.65,1368.97,-0.008282846371071002,-8.110000000000001
109,Jamaica,0.008420308995310287,1202.52,142132.33000000002,0.01438483421791314,1900.73,132134.3,0.005964525222602853,698.21
19,Bolivia (Plurinational State of),0.007691146901243822,118.14,15769.02,0.02845762273114342,121.795,4621.66,0.020766475829899596,3.655000000000001
207,Suriname,0.006770680011775096,3.22,475.58,0.04523359307007355,25.975,477.31,0.03846291305829845,22.755000000000003
27,Bulgaria,0.006222466646873869,451.84000000000003,120750.32499999998,0.0177765767374565,1961.225,109071.965,0.011554110090582631,1509.3849999999998
214,"China, Taiwan Province of",0.006205140496336646,1228.17,187976.235,0.0022910052042588083,478.42,200673.62,-0.003914135292077838,-749.75
157,Nicaragua,0.005391293884117705,551.08,102216.65,2.627030957633346e-06,0.3,114197.36000000002,-0.005388666853160072,-550.7800000000001
226,Uganda,0.005096800974632761,4444.95,829152.42,0.00425115218687541,2165.83,521428.235,-0.0008456487877573507,-2279.12
141,Mongolia,0.004515786353949251,458.375,102153.985,0.0020940015677685113,241.38,115272.12000000001,-0.0024217847861807396,-216.995
171,Philippines,0.003696824306527462,22450.260000000002,6029722.84,0.005446761941859524,41458.619999999995,7542011.52,0.0017499376353320622,19008.359999999993
98,Croatia,0.003595442550524882,84.87,24067.23,0.0010023706332814614,27.145,28866.440000000002,-0.0025930719172434207,-57.72500000000001
96,"China, Hong Kong SAR",0.0034376737845470337,1953.21,568158.3999999999,0.003142211435627134,1654.76,526833.8400000001,-0.0002954623489198997,-298.45000000000005
83,Kiribati,0.003320840957212795,50.8,15297.329999999998,,,,,
89,Guatemala,0.0032964792173004543,312.92,106696.485,0.0006072055612779978,77.47,121764.03999999998,-0.0026892736560224567,-235.45000000000002
120,Lao People's Democratic Republic,0.0031573099220490288,458.0,151054.88,0.00415034777224396,440.04,106024.84999999999,0.0009930378501949314,-17.95999999999998
167,Czechia,0.003108332458962566,605.1700000000001,191935.90500000003,0.005050355060175659,1000.86,196646.325,0.001942022601213093,395.68999999999994
183,Romania,0.002995523054929434,335.955,132365.515,0.011234808816570078,1012.68,93200.06,0.008239285761640644,676.7249999999999
110,Japan,0.0026588095279592786,1768.0,665793.0900000001,0.0030426021889665192,2240.0,731400.475,0.0003837926610072407,472.0
126,Lithuania,0.002643021509549604,102.09,39400.729999999996,0.004977758589176266,238.22000000000003,47296.92,0.0023347370796266615,136.13000000000002
235,Uzbekistan,0.0021760311894855043,106.92,35428.354999999996,0.04683663487791152,5134.139999999999,152819.09,0.04466060368842602,5027.219999999999
44,Colombia,0.002140503260206354,148.115,155725.40999999997,0.001256237099276013,227.35,199963.45,-0.000884266160930341,79.23499999999999
70,French Polynesia,0.0012894955416722037,26.445,22167.805,,,,,
97,Hungary,0.0011864628861074842,96.83000000000001,81538.86499999999,0.0015866547319562927,131.86,85131.04500000001,0.0004001918458488086,35.03
56,Dominican Republic,0.000996183838213709,51.79,59078.765,0.012302359281345075,587.94,236344.325,0.011306175443131365,536.1500000000001
138,Mexico,0.000951347741194833,881.78,926874.54,0.0005482684326784812,528.6600000000001,1006390.49,-0.00040307930851635177,-353.1199999999999
199,Slovakia,0.0007137323673882878,41.92,58733.5,6.644029040595576e-07,0.04,58936.355,-0.0007130679644842282,-41.88
219,Tonga,0.0006423793731983267,0.8,1245.37,,,,,
128,"China, Macao SAR",0.0002248059140189346,12.62,55974.14,0.001799275457691583,101.07,56137.095,0.0015744695436726483,88.44999999999999
60,El Salvador,0.00020683660588048162,17.34,83834.29,0.0021348175040828213,216.38,101357.61,0.0019279808982023397,199.04
48,Costa Rica,0.000125055684372347,20.634999999999998,166843.40999999997,0.0007358599617552103,183.53,254330.39,0.0006108042773828633,162.895
170,Peru,0.00010420962702179589,38.7,353337.07499999995,9.00290257041525e-05,26.0,288795.75,-1.4180601317643387e-05,-12.700000000000003
14,Barbados,2.0925042718423363e-05,0.13,6133.09,0.004026691485432049,26.49,6633.8150000000005,0.004005766442713626,26.36
166,Panama,2.0661524877684868e-05,0.94,45495.19,,,,,
191,Saint Vincent and the Grenadines,7.94249632659545e-06,0.02,2518.1,,,,,
95,Honduras,5.98539450503578e-06,0.74,123634.29,0.013099795630181415,2207.68,168527.81999999998,0.013093810235676379,2206.94
49,Cuba,5.265798900746048e-06,4.0,759618.8300000001,,,,,
86,Grenada,,,,0.02860487606250318,61.82,2161.17,,
244,Samoa,,,,0.0011000471210901013,19.82,18017.41,,
