Reporter Country Code,Reporter Countries,Commodity,mean_hhi,mean_shannon_h,mean_top_share,mean_eff_suppliers_hhi,mean_import_t,mean_idr,mean_idr_norm,mean_hhi_norm,risk_score
131,Malaysia,Maize,0.5494946681816494,0.8748543644384368,0.7107543838611202,1.8265345009591438,3545224.8266666667,0.9972747073089413,0.9972290088803019,0.4368075808845455,0.6610841304604599
131,Malaysia,Rice,0.25408189912571805,1.492667413749716,0.3390843690076219,3.958947493486543,2505480.643333333,0.9186510546328411,0.9174897088032515,0.15515958173432964,0.37872281256085166
131,Malaysia,Wheat,0.42240309812720517,1.3446386052681152,0.6219064133270643,2.375851645314667,1649260.7033333331,0.9634134568724816,0.9624400317829973,0.28786232100511144,0.5275429117428031
132,Maldives,Maize,0.2835861200323288,1.7332778129288606,0.4648000546838433,3.9929662441828584,258.31,1.0,1.0,0.09911593956558955,0.31656919544572737
132,Maldives,Rice,0.7968302509786541,0.5107011960986211,0.8901596789960801,1.2552152249847373,58393.19,0.9999991897430732,0.9999991781757628,0.9171494260715857,0.9586797280323631
132,Maldives,Wheat,0.5121424553862173,0.970901640048378,0.6455698487506946,2.0323666418132142,24524.53,0.999999853880574,0.9999998499929065,0.40273161142243963,0.6357163537862279
133,Mali,Maize,0.770245334961406,0.5589129758336018,0.8751917243568533,1.2985842806033778,4007.775,0.998678379164207,0.9986562178764852,0.7171507872460384,0.8472920983010495
133,Mali,Rice,0.6281237183174364,0.7032371276232685,0.7174815288760641,1.7230983008663086,704549.7699999999,0.9999787446158841,0.9999784411718555,0.6802944192856188,0.8258093156386668
133,Mali,Wheat,0.26815448379553886,1.8218878481625396,0.4325994269388764,4.567557128390881,367096.88,0.999943831830887,0.9999423374151709,0.09041908743041097,0.30249832240354235
134,Malta,Maize,0.6502350631423143,0.6091232953426079,0.7694640430483585,1.6128644337852425,47142.299999999996,1.0,1.0,0.5647432548527377,0.7525350477602957
134,Malta,Rice,0.18133583770519893,1.9028089843700149,0.24472494088509011,5.517708228888268,7984.52,0.9997483171730486,0.9997447241233767,0.053027977227882966,0.23252572581514894
134,Malta,Wheat,0.21579293257064489,1.8387978742598883,0.38037294233774754,4.6798377869283705,39142.18,0.9295442996874869,0.9276697485405707,0.023394602097916366,0.1505142152622777
136,Mauritania,Maize,0.47534956775580967,0.9650136618283397,0.580298173323713,2.466038051516263,25531.729999999996,1.0,1.0,0.3426467092885693,0.5865069104433961
